Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Mus musculus ryanodine receptor 1, skeletal muscle (Ryr1), transcript variant X7, mRNA",Mus musculus,22.3,42.6,94%,204,100.00,15352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036152819.1?report=genbank&log$=nucltop&blast_rank=85&RID=69UHK58X016"",""XM_036152819.1"")"
"Mus musculus progestin and adipoQ receptor family member III (Paqr3), transcript variant 7, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001428774.1?report=genbank&log$=nucltop&blast_rank=86&RID=69UHK58X016"",""NM_001428774.1"")"
"PREDICTED: Mus musculus chromodomain helicase DNA binding protein 9 (Chd9), transcript variant X16, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,30342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036153719.1?report=genbank&log$=nucltop&blast_rank=87&RID=69UHK58X016"",""XM_036153719.1"")"
"PREDICTED: Mus musculus predicted gene, 46957 (Gm46957), ncRNA",Mus musculus,22.3,22.3,69%,204,100.00,481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_001785220.3?report=genbank&log$=nucltop&blast_rank=88&RID=69UHK58X016"",""XR_001785220.3"")"
"PREDICTED: Mus musculus two pore segment channel 2 (Tpcn2), transcript variant X34, mRNA",Mus musculus,22.3,22.3,94%,204,93.33,4966,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006508618.4?report=genbank&log$=nucltop&blast_rank=89&RID=69UHK58X016"",""XM_006508618.4"")"
"Mus musculus cation channel sperm associated auxiliary subunit delta (Catsperd), transcript variant 1, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_175350.4?report=genbank&log$=nucltop&blast_rank=90&RID=69UHK58X016"",""NM_175350.4"")"
"PREDICTED: Mus musculus cyclin dependent kinase 11B (Cdk11b), transcript variant X13, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,1765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036163616.1?report=genbank&log$=nucltop&blast_rank=91&RID=69UHK58X016"",""XM_036163616.1"")"
"PREDICTED: Mus musculus CREB regulated transcription coactivator 3 (Crtc3), transcript variant X2, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,5832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_030242981.2?report=genbank&log$=nucltop&blast_rank=92&RID=69UHK58X016"",""XM_030242981.2"")"
"Mus musculus polyadenylate binding protein-interacting protein 1 (Paip1), transcript variant 2, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,4633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001079849.3?report=genbank&log$=nucltop&blast_rank=93&RID=69UHK58X016"",""NM_001079849.3"")"
"PREDICTED: Mus musculus two pore segment channel 2 (Tpcn2), transcript variant X29, misc_RNA",Mus musculus,22.3,22.3,94%,204,93.33,6182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004934094.1?report=genbank&log$=nucltop&blast_rank=94&RID=69UHK58X016"",""XR_004934094.1"")"
"Mus musculus cell adhesion molecule 3 (Cadm3), transcript variant 2, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,4325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001412815.1?report=genbank&log$=nucltop&blast_rank=95&RID=69UHK58X016"",""NM_001412815.1"")"
"Mus musculus cyclin dependent kinase 11B (Cdk11b), transcript variant 13, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2799,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001420000.1?report=genbank&log$=nucltop&blast_rank=96&RID=69UHK58X016"",""NM_001420000.1"")"
"PREDICTED: Mus musculus chromodomain helicase DNA binding protein 9 (Chd9), transcript variant X17, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,29495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017312521.3?report=genbank&log$=nucltop&blast_rank=97&RID=69UHK58X016"",""XM_017312521.3"")"
"Mus musculus DET1 partner of COP1 E3 ubiquitin ligase (Det1), transcript variant 2, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,2049,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001419047.1?report=genbank&log$=nucltop&blast_rank=98&RID=69UHK58X016"",""NM_001419047.1"")"
"PREDICTED: Mus musculus Gem-interacting protein (Gmip), transcript variant X7, misc_RNA",Mus musculus,22.3,22.3,69%,204,100.00,3943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003947356.2?report=genbank&log$=nucltop&blast_rank=99&RID=69UHK58X016"",""XR_003947356.2"")"
"Mus musculus small nuclear RNA activating complex, polypeptide 1 (Snapc1), transcript variant 3, mRNA",Mus musculus,22.3,22.3,69%,204,100.00,7683,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001418099.1?report=genbank&log$=nucltop&blast_rank=100&RID=69UHK58X016"",""NM_001418099.1"")"
