""	"SRR7170030"	"SRR7170031"	"SRR7170032"	"SRR7170033"	"SRR7170034"	"SRR7170035"
"Gm22704"	0	0	0	0	0	0
"Gm22708"	0	0	0	0	0	0
"Gm22711"	0	0	0	0	0	0
"Gm22713"	0	0	0	0	0	0
"Gm22716"	0	0	0	0	0	0
"Gm22722"	0	0	0	0	0	0
"Gm22723"	0	0	0	0	0	0
"Gm22724"	0	0	0	0	0	0
"Gm22728"	0	0	0	0	0	0
"Gm22739"	0	0	0	0	0	0
"Gm22740"	0	0	0	0	0	0
"Gm22741"	0	0	0	0	0	0
"Gm22743"	0	0	0	0	0	0
"Gm22744"	0	0	0	0	0	0
"Gm22746"	0	0	0	0	0	0
"Gm22747"	0	0	0	0	0	0
"Gm22748"	0	0	0	0	0	0
"Gm22749"	0	0	0	0	0	0
"Gm22753"	0	1	0	0	0	0
"Gm22756"	0	0	0	0	0	0
"Gm22762"	0	0	0	0	0	0
"Gm22767"	0	0	0	0	0	0
"Gm22769"	0	0	0	0	0	0
"Gm22772"	0	0	0	0	0	0
"Gm22776"	0	0	0	0	0	0
"Gm22777"	0	0	0	0	0	0
"Gm22778"	0	0	0	0	0	0
"Gm22779"	0	0	0	0	0	0
"Gm22780"	0	0	0	0	0	0
"Gm22781"	0	0	0	0	0	0
"Gm22782"	0	0	0	0	0	0
"Gm22783"	0	0	0	0	0	0
"Gm22784"	0	0	0	0	0	0
"Gm22785"	0	0	0	0	0	0
"Gm22786"	0	0	0	0	0	0
"Gm22788"	0	0	0	0	0	0
"Gm22789"	0	0	0	0	0	0
"Gm22792"	0	0	0	0	0	0
"Gm22797"	0	0	0	0	0	0
"Gm22798"	0	0	0	0	0	0
"Gm22805"	0	0	0	0	0	0
"Gm22806"	0	0	0	0	0	0
"Gm22807"	0	0	0	0	0	0
"Gm22808"	0	0	0	0	0	0
"Gm22810"	0	0	0	0	0	0
"Gm22812"	0	0	0	0	0	0
"Gm22813"	0	0	0	0	0	0
"Gm22815"	0	0	0	0	0	0
"Gm22818"	0	0	0	0	0	0
"Gm22821"	0	0	0	0	0	0
"Gm22822"	0	0	0	0	0	0
"Gm22823"	0	0	0	0	0	0
"Gm22826"	0	0	0	0	0	0
"Gm22827"	0	0	0	0	0	0
"Gm22828"	0	0	0	0	0	0
"Gm22829"	0	0	0	0	0	0
"Gm22830"	0	0	0	0	0	0
"Gm22833"	0	0	0	0	0	0
"Gm22834"	0	0	0	0	0	0
"Gm22836"	0	0	0	0	0	0
"Gm22840"	0	0	0	0	0	0
"Gm22841"	0	0	0	0	0	0
"Gm22845"	0	0	0	0	0	0
"Gm22851"	0	0	0	0	0	0
"Gm22857"	0	0	0	0	0	0
"Gm22858"	0	0	0	0	0	0
"Gm22863"	0	0	0	0	0	0
"Gm22868"	0	0	0	0	0	0
"Gm2287"	0	0	0	0	2	0
"Gm22871"	0	0	0	0	0	0
"Gm22879"	0	0	0	0	0	0
"Gm22880"	0	0	0	0	0	0
"Gm22881"	0	0	0	0	0	0
"Gm22883"	0	0	0	0	0	0
"Gm22886"	0	0	0	0	0	0
"Gm22887"	0	0	0	0	0	0
"Gm22888"	0	0	0	0	0	0
"Gm22889"	0	0	0	0	0	0
"Gm22890"	0	0	0	0	0	0
"Gm22897"	0	0	0	0	0	0
"Gm22899"	0	0	0	0	0	0
"Gm22900"	0	0	0	0	0	0
"Gm22909"	0	0	0	0	0	0
"Gm22910"	0	0	0	0	0	0
"Gm22911"	0	0	0	0	0	0
"Gm22912"	0	0	0	0	0	0
"Gm22915"	0	0	0	0	0	0
"Gm22927"	0	0	0	0	0	0
"Gm22929"	0	0	0	0	0	0
"Gm22934"	0	0	0	0	0	0
"Gm22935"	0	0	0	0	0	0
"Gm22936"	0	0	0	0	0	0
"Gm22937"	0	0	0	0	0	0
"Gm22939"	0	0	0	0	0	0
"Gm22941"	0	0	0	0	0	0
"Gm22942"	0	0	0	0	0	0
"Gm22944"	0	0	0	0	0	0
"Gm22945"	0	0	0	0	0	0
"Gm22950"	0	0	0	0	0	0
"Gm22951"	0	0	0	0	0	0
"Gm22960"	0	0	0	0	0	0
"Gm22966"	0	0	0	0	0	0
"Gm22969"	0	0	0	0	0	0
"Gm22970"	0	0	0	0	0	0
"Gm22972"	0	0	0	0	0	0
"Gm22973"	0	0	0	0	0	0
"Gm22974"	0	0	0	0	0	0
"Gm22975"	0	0	0	0	0	0
"Gm22977"	0	0	0	0	0	0
"Gm22978"	0	0	0	0	0	0
"Gm22979"	0	0	0	0	0	0
"Gm22980"	0	0	0	0	0	0
"Gm22981"	0	0	0	0	0	0
"Gm22988"	0	1	1	0	0	0
"Gm22995"	0	0	0	0	0	0
"Gm22996"	0	0	0	0	0	0
"Gm22997"	0	0	0	0	0	0
"Gm23002"	0	0	0	0	0	0
"Gm23003"	0	0	0	0	0	0
"Gm23005"	0	0	0	0	0	0
"Gm23008"	0	0	0	0	0	0
"Gm23010"	0	0	0	0	0	0
"Gm23011"	0	0	0	0	0	0
"Gm23012"	0	0	0	0	0	0
"Gm23013"	0	0	0	0	0	0
"Gm23014"	0	0	0	0	0	0
"Gm23015"	0	0	0	0	0	0
"Gm23016"	0	0	0	0	0	0
"Gm23017"	0	0	0	0	0	0
"Gm23021"	0	0	0	0	0	0
"Gm23025"	0	0	0	0	0	0
"Gm23032"	0	0	0	0	0	0
"Gm23033"	0	0	0	0	0	0
"Gm23034"	0	0	0	0	0	0
"Gm23035"	0	0	0	0	0	0
"Gm23038"	0	0	0	0	0	0
"Gm23039"	0	0	0	0	0	0
"Gm23040"	0	0	0	0	0	0
"Gm23041"	0	0	0	0	0	0
"Gm23047"	0	0	0	0	0	0
"Gm23048"	0	0	0	0	0	0
"Gm23050"	0	0	0	0	0	0
"Gm23054"	0	0	0	0	0	0
"Gm23056"	0	0	0	0	0	0
"Gm23057"	0	0	0	0	0	0
"Gm23058"	0	0	0	0	0	0
"Gm23059"	0	0	0	0	0	0
"Gm23067"	0	0	0	0	0	0
"Gm23076"	0	0	0	0	0	0
"Gm23080"	0	0	0	0	0	0
"Gm23082"	0	0	0	0	0	0
"Gm23089"	0	0	0	0	0	0
"Gm2309"	0	0	0	0	0	0
"Gm23090"	0	0	0	0	0	0
"Gm23092"	0	0	0	0	0	0
"Gm23093"	0	0	0	0	0	0
"Gm23095"	0	0	0	0	0	0
"Gm23096"	0	0	0	0	0	0
"Gm23097"	0	0	0	0	0	0
"Gm23102"	0	0	0	0	0	0
"Gm23103"	0	0	0	0	0	0
"Gm23104"	0	0	0	0	0	0
"Gm23105"	0	0	0	0	0	0
"Gm23109"	0	0	0	0	0	0
"Gm23111"	0	0	0	0	0	0
"Gm23117"	0	0	0	0	0	0
"Gm23118"	0	0	0	0	0	0
"Gm23119"	0	0	0	0	0	0
"Gm23123"	0	1	0	0	0	0
"Gm23124"	0	0	0	0	0	0
"Gm23125"	0	0	0	0	0	0
"Gm23126"	0	0	0	0	0	0
"Gm23127"	0	0	0	0	0	0
"Gm23128"	0	0	0	0	0	0
"Gm23129"	0	0	0	0	0	0
"Gm23130"	0	0	0	0	0	0
"Gm23131"	0	0	0	0	0	0
"Gm23132"	0	0	0	0	0	0
"Gm23136"	0	0	0	0	0	0
"Gm23137"	0	0	0	0	0	0
"Gm23138"	0	0	0	0	0	0
"Gm23139"	0	0	0	0	0	0
"Gm23140"	0	0	0	0	0	0
"Gm23141"	0	0	0	0	0	0
"Gm23142"	0	0	0	0	0	0
"Gm23143"	0	0	0	0	0	0
"Gm23144"	0	0	0	0	0	0
"Gm23145"	0	0	0	0	0	0
"Gm23148"	0	0	0	0	0	0
"Gm23151"	0	0	0	0	0	0
"Gm23168"	0	0	0	0	0	0
"Gm23169"	0	0	0	0	0	0
"Gm23175"	0	0	0	0	0	0
"Gm23176"	0	0	0	0	0	0
"Gm23182"	0	0	0	0	1	0
"Gm23186"	0	0	0	0	0	0
"Gm23187"	0	0	0	0	0	0
"Gm23191"	0	0	0	0	0	0
"Gm23194"	0	0	0	0	0	0
"Gm23195"	0	0	0	0	0	0
"Gm23196"	0	0	0	0	0	0
"Gm23199"	0	0	0	0	0	0
"Gm23200"	0	0	0	0	0	0
"Gm23201"	0	0	0	0	0	0
"Gm23202"	0	1	0	0	0	0
"Gm23203"	0	0	0	0	0	0
"Gm23205"	0	1	0	0	0	0
"Gm23206"	0	0	0	0	0	0
"Gm23207"	0	0	0	0	0	0
"Gm23212"	0	0	0	0	0	0
"Gm23216"	0	0	0	0	0	0
"Gm23217"	0	0	0	0	0	0
"Gm23220"	0	0	0	0	0	0
"Gm23223"	0	0	0	0	0	0
"Gm23229"	0	0	0	0	0	0
"Gm23231"	0	0	0	0	0	0
"Gm23233"	0	0	0	0	0	0
"Gm23234"	0	0	0	0	0	0
"Gm23238"	0	0	0	0	0	0
"Gm23241"	0	0	0	0	0	0
"Gm23242"	0	0	0	0	0	0
"Gm23245"	0	0	0	0	3	0
"Gm23246"	0	0	0	0	0	0
"Gm23247"	0	0	0	0	0	0
"Gm23248"	0	0	0	0	0	0
"Gm23249"	0	0	0	0	0	0
"Gm23254"	0	0	0	0	0	0
"Gm23258"	0	0	0	0	0	0
"Gm23261"	0	0	0	0	0	0
"Gm23262"	2	1	0	0	0	1
"Gm23264"	0	0	0	0	0	0
"Gm23265"	0	0	0	0	0	0
"Gm23266"	0	0	0	0	0	0
"Gm23267"	0	0	0	0	0	0
"Gm23269"	0	0	0	0	0	0
"Gm23270"	0	0	0	0	0	0
"Gm23272"	0	0	0	0	0	0
"Gm23273"	0	0	0	0	0	0
"Gm23274"	0	0	0	0	0	0
"Gm23275"	0	0	0	0	0	0
"Gm23276"	0	0	0	0	0	0
"Gm23277"	0	0	0	0	0	0
"Gm23278"	0	0	0	0	0	0
"Gm23280"	0	0	0	0	0	0
"Gm23284"	0	0	0	0	0	0
"Gm23286"	0	0	0	0	0	0
"Gm23287"	0	0	0	0	0	0
"Gm23293"	0	0	0	0	0	0
"Gm23294"	1	0	0	0	0	0
"Gm23296"	0	0	0	0	0	0
"Gm23297"	0	0	0	0	0	0
"Gm23298"	0	0	0	0	0	0
"Gm23300"	0	0	0	0	0	0
"Gm23301"	0	0	0	0	0	0
"Gm23305"	0	0	0	0	0	0
"Gm23308"	0	0	0	0	0	0
"Gm23310"	0	0	0	0	0	0
"Gm23311"	0	0	0	0	0	0
"Gm23312"	0	0	0	0	0	0
"Gm23313"	0	0	0	0	0	0
"Gm23316"	0	0	0	0	0	0
"Gm23318"	0	0	1	0	0	0
"Gm23319"	0	0	0	0	0	0
"Gm23320"	0	0	0	0	0	0
"Gm23321"	0	0	0	0	0	0
"Gm23322"	0	0	0	0	0	0
"Gm23323"	0	0	0	0	0	0
"Gm23324"	0	0	0	0	0	0
"Gm23325"	0	0	0	0	0	0
"Gm23326"	0	0	0	0	0	0
"Gm23328"	0	0	0	0	0	0
"Gm23330"	0	0	0	0	0	0
"Gm23331"	0	0	0	0	0	0
"Gm23336"	0	0	0	0	0	0
"Gm23337"	0	0	0	0	0	0
"Gm23339"	0	0	0	0	0	0
"Gm23343"	0	0	0	0	0	0
"Gm23344"	0	0	0	0	0	0
"Gm23346"	0	0	0	0	0	0
"Gm23349"	0	0	0	0	0	0
"Gm23350"	0	0	0	0	0	0
"Gm23351"	0	0	0	0	0	0
"Gm23352"	0	0	0	0	0	0
"Gm23354"	0	0	0	0	0	0
"Gm23355"	0	0	0	0	0	0
"Gm23356"	0	0	0	0	0	0
"Gm23369"	0	0	0	0	0	0
"Gm23370"	0	0	0	0	0	0
"Gm23376"	0	0	0	0	0	0
"Gm23377"	0	0	0	0	0	0
"Gm23378"	0	0	0	0	0	0
"Gm23379"	0	0	0	0	0	0
"Gm23386"	0	0	0	0	0	0
"Gm23389"	0	0	0	0	0	0
"Gm23390"	0	0	0	0	0	0
"Gm23402"	0	0	0	0	0	0
"Gm23405"	0	0	0	0	0	0
"Gm23406"	0	0	0	0	0	0
"Gm23410"	0	0	0	0	0	0
"Gm23411"	0	0	0	0	0	0
"Gm23412"	0	0	0	0	0	0
"Gm23421"	0	0	0	0	0	0
"Gm23422"	0	0	0	0	0	0
"Gm23423"	0	0	0	0	0	0
"Gm23428"	0	0	0	0	0	0
"Gm23431"	0	0	0	0	0	0
"Gm23432"	0	0	0	0	0	0
"Gm23437"	0	0	0	0	0	0
"Gm23439"	0	0	0	0	0	0
"Gm23440"	0	0	0	0	0	0
"Gm23441"	0	0	0	0	0	0
"Gm23442"	0	0	0	0	0	0
"Gm23443"	0	0	0	0	0	0
"Gm23444"	0	0	0	0	0	0
"Gm23445"	0	0	0	0	0	0
"Gm23446"	0	0	0	0	0	0
"Gm23447"	0	0	0	0	0	0
"Gm23448"	0	0	0	0	0	0
"Gm23449"	0	0	0	0	0	0
"Gm23451"	0	0	0	0	0	0
"Gm23452"	0	0	0	0	0	0
"Gm23453"	0	0	0	0	0	0
"Gm23454"	0	0	0	0	0	0
"Gm23458"	0	0	0	2	0	0
"Gm23460"	0	0	0	0	0	0
"Gm23461"	0	0	0	0	0	0
"Gm23462"	0	0	0	0	0	0
"Gm23463"	0	0	0	0	0	0
"Gm23467"	0	0	0	0	0	0
"Gm23470"	0	0	0	0	0	0
"Gm23471"	0	0	0	0	0	0
"Gm23472"	0	0	0	0	0	0
"Gm23475"	0	0	0	0	0	0
"Gm23477"	0	0	0	0	0	0
"Gm23481"	0	0	0	0	0	0
"Gm23482"	0	0	0	0	0	0
"Gm23483"	0	0	0	0	0	0
"Gm23484"	0	0	0	0	0	0
"Gm23485"	0	0	0	0	0	0
"Gm23494"	0	0	0	0	0	0
"Gm23502"	0	0	0	0	0	0
"Gm23503"	0	0	0	0	0	0
"Gm23505"	0	0	0	0	0	0
"Gm23506"	0	0	0	0	0	0
"Gm23507"	0	0	0	0	0	0
"Gm23508"	0	0	0	0	0	0
"Gm23509"	0	0	0	0	0	0
"Gm23510"	0	0	0	0	0	0
"Gm23511"	0	0	0	0	0	0
"Gm23512"	0	0	0	0	0	0
"Gm23513"	0	0	0	0	0	0
"Gm23514"	0	0	0	0	0	0
"Gm23515"	0	0	0	0	0	0
"Gm23516"	0	0	0	0	0	0
"Gm23517"	0	0	0	0	0	0
"Gm23520"	0	0	0	0	0	0
"Gm23523"	0	0	0	0	0	0
"Gm23527"	0	0	0	0	0	0
"Gm23528"	0	0	0	0	0	0
"Gm23529"	0	0	0	0	0	0
"Gm23530"	0	0	0	0	0	0
"Gm23532"	0	0	0	0	0	0
"Gm23535"	0	0	0	0	0	0
"Gm23538"	0	0	0	0	0	0
"Gm23540"	0	0	0	0	0	0
"Gm23546"	0	0	0	0	0	0
"Gm23547"	6	0	2	0	1	0
"Gm23552"	0	0	0	0	0	0
"Gm23555"	0	0	0	0	0	0
"Gm23557"	0	0	0	0	0	0
"Gm23560"	0	0	0	0	0	0
"Gm23561"	0	0	0	0	0	0
"Gm23567"	0	0	0	0	0	0
"Gm23568"	0	0	0	0	0	0
"Gm23570"	0	0	0	0	0	0
"Gm23573"	0	0	0	0	0	0
"Gm23575"	0	0	0	0	0	0
"Gm23579"	0	0	0	0	0	0
"Gm23581"	0	0	0	0	0	0
"Gm23585"	0	0	0	0	0	0
"Gm23593"	0	0	0	0	0	0
"Gm23594"	0	0	0	0	0	0
"Gm23595"	0	0	0	0	0	0
"Gm23596"	0	0	0	0	0	0
"Gm23598"	0	0	0	0	0	0
"Gm23601"	0	0	0	0	0	0
"Gm23602"	0	0	0	0	0	0
"Gm23604"	0	0	0	0	0	0
"Gm23605"	0	0	0	0	0	0
"Gm23607"	0	0	0	0	0	0
"Gm23608"	0	2	0	0	0	1
"Gm23609"	0	0	0	0	0	0
"Gm23610"	0	0	0	0	0	0
"Gm23613"	0	0	0	0	0	0
"Gm23614"	0	0	0	0	0	0
"Gm23615"	0	0	0	0	0	0
"Gm23618"	0	0	0	0	0	0
"Gm23619"	0	0	0	0	0	0
"Gm23622"	0	0	0	0	0	0
"Gm23623"	0	0	0	0	0	0
"Gm23625"	0	0	0	0	0	0
"Gm23626"	0	0	0	0	0	0
"Gm23627"	0	0	0	0	0	0
"Gm23629"	0	0	0	0	0	0
"Gm23639"	0	4	0	0	0	0
"Gm23644"	0	0	0	0	0	0
"Gm23645"	0	0	0	0	0	0
"Gm23648"	0	0	0	0	0	0
"Gm23649"	0	0	0	0	0	0
"Gm23650"	0	0	0	0	0	0
"Gm23655"	0	0	0	0	0	0
"Gm23656"	0	0	0	0	0	0
"Gm23660"	0	0	0	0	0	0
"Gm23665"	0	0	0	0	0	0
"Gm23669"	0	0	0	0	0	0
"Gm23674"	0	0	0	0	0	0
"Gm23676"	0	0	0	0	0	0
"Gm23677"	0	0	0	0	0	0
"Gm23678"	0	0	0	0	0	0
"Gm23680"	0	0	0	0	0	0
"Gm23682"	0	0	0	0	0	0
"Gm23686"	0	0	0	0	0	0
"Gm23687"	0	0	0	0	0	0
"Gm23688"	0	0	0	0	0	0
"Gm23691"	0	0	0	0	0	0
"Gm23692"	0	0	0	0	0	0
"Gm23698"	0	0	0	0	0	0
"Gm23699"	0	0	0	0	0	0
"Gm23705"	0	0	0	0	0	0
"Gm23706"	0	0	0	0	0	0
"Gm23709"	0	0	0	0	0	0
"Gm23711"	0	0	0	0	0	0
"Gm23712"	0	0	0	0	0	0
"Gm23714"	0	0	0	0	0	0
"Gm23716"	0	0	0	0	0	0
"Gm23721"	0	0	0	0	0	0
"Gm23722"	0	0	0	0	0	0
"Gm23723"	0	0	0	0	0	0
"Gm23725"	0	0	0	0	0	0
"Gm23727"	0	0	0	0	0	0
"Gm23730"	0	0	0	0	0	0
"Gm23731"	0	0	0	0	0	0
"Gm23732"	0	0	0	0	0	0
"Gm23733"	0	0	0	0	0	0
"Gm23734"	0	0	0	0	0	0
"Gm23736"	0	0	0	0	0	0
"Gm23737"	0	0	0	0	0	0
"Gm23738"	0	0	0	0	0	0
"Gm23741"	0	0	0	0	0	0
"Gm23747"	0	0	0	0	0	0
"Gm23748"	0	0	0	0	0	0
"Gm23749"	0	0	0	0	0	0
"Gm23750"	0	0	0	0	0	0
"Gm23751"	0	0	0	0	0	0
"Gm23758"	0	0	0	0	0	0
"Gm23767"	0	0	0	0	0	0
"Gm23768"	0	0	0	0	0	0
"Gm23774"	0	0	0	0	0	0
"Gm23779"	0	0	0	0	0	0
"Gm23786"	0	0	0	0	0	0
"Gm23787"	0	0	0	0	0	0
"Gm2379"	0	1	0	0	0	0
"Gm23790"	0	0	0	0	0	0
"Gm23793"	0	0	0	0	0	0
"Gm23794"	0	0	0	0	0	0
"Gm23795"	0	0	0	0	0	0
"Gm23796"	0	0	0	0	0	0
"Gm23803"	0	0	0	0	0	0
"Gm23804"	0	0	0	0	0	0
"Gm23805"	0	0	0	0	0	0
"Gm2381"	0	0	1	0	0	0
"Gm23814"	0	0	0	0	0	0
"Gm23815"	0	0	0	0	0	0
"Gm23816"	0	0	0	0	0	0
"Gm23817"	0	0	0	0	0	0
"Gm23819"	0	0	0	0	0	0
"Gm23822"	0	0	0	0	0	0
"Gm23834"	0	0	0	0	0	0
"Gm23835"	0	0	0	0	0	0
"Gm23838"	0	0	0	0	0	0
"Gm23839"	0	0	0	0	0	0
"Gm23846"	0	0	0	0	0	0
"Gm23847"	0	0	0	0	0	0
"Gm23848"	0	0	0	0	0	0
"Gm23849"	0	0	0	0	0	0
"Gm23850"	0	0	0	0	0	0
"Gm23851"	0	1	0	0	0	0
"Gm23852"	0	0	0	0	0	0
"Gm23855"	0	0	0	0	0	0
"Gm23858"	0	0	0	0	0	0
"Gm23859"	0	0	0	0	0	0
"Gm23860"	0	0	0	0	0	0
"Gm23862"	0	0	0	0	0	0
"Gm23864"	0	0	0	0	0	0
"Gm23877"	0	0	0	0	0	0
"Gm23879"	0	0	0	0	0	0
"Gm23889"	0	0	0	0	0	0
"Gm23891"	0	0	0	0	0	0
"Gm23892"	0	0	0	0	0	0
"Gm23896"	0	0	0	0	0	0
"Gm23897"	0	0	0	0	0	0
"Gm23901"	0	0	0	0	0	0
"Gm23902"	0	0	0	0	0	0
"Gm23903"	0	0	0	0	0	0
"Gm23906"	0	0	0	0	0	0
"Gm23907"	0	0	0	0	0	0
"Gm23908"	0	0	0	0	0	0
"Gm23909"	0	0	0	0	0	0
"Gm23910"	0	0	0	0	0	0
"Gm23911"	0	0	0	0	0	0
"Gm23922"	0	0	0	0	0	0
"Gm23923"	0	0	0	0	0	0
"Gm23924"	0	0	0	0	0	0
"Gm23925"	0	2	1	0	0	0
"Gm23932"	0	0	0	0	0	0
"Gm23933"	0	0	0	0	0	0
"Gm23934"	0	0	0	0	0	0
"Gm23940"	0	0	0	0	0	0
"Gm23941"	0	0	0	0	0	0
"Gm23942"	0	0	0	0	0	0
"Gm23944"	0	0	0	0	0	0
"Gm23946"	0	2	3	0	0	1
"Gm23947"	0	0	0	0	0	0
"Gm23948"	0	0	0	0	0	0
"Gm23949"	0	0	0	0	0	0
"Gm23950"	0	0	0	0	0	0
"Gm23951"	0	0	0	0	0	0
"Gm23952"	0	0	0	0	0	0
"Gm23953"	0	0	0	0	0	0
"Gm23958"	0	0	0	0	0	0
"Gm2396"	0	0	0	0	0	0
"Gm23960"	0	0	0	0	0	0
"Gm23966"	0	0	1	0	0	0
"Gm23969"	0	0	0	0	0	0
"Gm23970"	0	0	0	0	0	0
"Gm23971"	0	0	0	1	0	0
"Gm23972"	0	0	0	0	0	0
"Gm23974"	0	0	0	0	0	0
"Gm23975"	0	0	0	0	0	0
"Gm23977"	0	0	0	0	0	0
"Gm23979"	0	0	0	0	0	0
"Gm23980"	0	0	0	0	0	0
"Gm23981"	0	0	0	0	0	0
"Gm23986"	0	0	0	0	0	0
"Gm23987"	0	0	0	0	0	0
"Gm23991"	0	0	0	0	0	1
"Gm23993"	0	0	0	0	0	0
"Gm23995"	0	0	0	0	0	0
"Gm23996"	0	0	0	0	0	0
"Gm24002"	0	0	0	0	0	0
"Gm24006"	0	0	0	0	0	0
"Gm24008"	0	0	0	0	0	0
"Gm24016"	0	0	0	0	0	0
"Gm24018"	0	0	0	0	0	0
"Gm24019"	0	0	0	0	0	0
"Gm24021"	0	0	0	0	0	0
"Gm24027"	0	0	0	0	0	0
"Gm24029"	0	0	1	0	0	0
"Gm24030"	0	0	0	0	0	0
"Gm24031"	0	0	0	0	0	0
"Gm24032"	0	0	0	0	0	0
"Gm24035"	0	0	0	0	0	0
"Gm24038"	0	0	0	0	0	0
"Gm24039"	0	0	0	0	0	0
"Gm24040"	0	0	0	0	0	0
"Gm24041"	0	0	0	0	0	0
"Gm24042"	0	0	0	0	0	0
"Gm24043"	0	0	0	0	0	0
"Gm24044"	4	3	0	2	1	1
"Gm24046"	0	0	0	0	0	0
"Gm24061"	0	0	0	0	0	0
"Gm24066"	0	0	0	0	0	0
"Gm24067"	0	0	0	0	0	0
"Gm24068"	0	0	0	0	0	0
"Gm24069"	0	0	0	0	0	0
"Gm24070"	0	0	0	0	0	0
"Gm24071"	0	0	0	0	0	0
"Gm24072"	0	0	0	0	0	0
"Gm24077"	0	0	0	0	0	0
"Gm24079"	0	0	0	0	0	0
"Gm24088"	0	0	0	0	0	0
"Gm24091"	0	0	0	0	0	0
"Gm24095"	0	1	0	0	0	2
"Gm24097"	0	0	0	0	0	0
"Gm24099"	0	0	0	0	0	0
"Gm24100"	0	0	0	0	0	0
"Gm24105"	0	0	0	0	0	0
"Gm24116"	0	0	0	0	0	0
"Gm24117"	0	0	0	0	0	0
"Gm24118"	0	0	0	0	0	0
"Gm24119"	0	1	0	1	1	2
"Gm24120"	0	0	0	0	0	0
"Gm24121"	0	0	0	0	0	0
"Gm24122"	0	0	0	0	0	0
"Gm24123"	0	0	0	0	0	0
"Gm24124"	0	0	0	0	0	0
"Gm24125"	0	0	0	0	0	0
"Gm24126"	0	0	0	0	0	0
"Gm24127"	0	0	0	0	0	0
"Gm24130"	0	0	0	0	0	0
"Gm24131"	0	0	0	0	0	0
"Gm24134"	0	0	0	0	0	0
"Gm24136"	0	0	0	0	0	0
"Gm24137"	0	0	0	0	0	0
"Gm24142"	0	0	0	0	0	0
"Gm24143"	0	0	0	0	0	0
"Gm24144"	0	0	0	0	0	0
"Gm24145"	0	0	0	0	0	0
"Gm24147"	0	0	0	0	0	0
"Gm24149"	0	0	0	0	0	0
"Gm24150"	0	0	0	0	0	0
"Gm24151"	0	1	0	0	0	0
"Gm24152"	0	0	0	0	0	0
"Gm24153"	0	0	0	0	0	0
"Gm24154"	0	0	0	0	0	0
"Gm24160"	0	0	0	0	0	0
"Gm24161"	0	0	0	0	0	0
"Gm24162"	0	0	0	0	0	0
"Gm24163"	0	0	0	0	0	0
"Gm24164"	0	0	0	0	0	0
"Gm24165"	0	0	0	0	0	0
"Gm24166"	0	0	0	0	0	0
"Gm24168"	0	0	0	0	0	0
"Gm24170"	0	0	0	0	0	0
"Gm24171"	0	0	0	0	0	0
"Gm24172"	0	0	0	0	0	0
"Gm24173"	0	0	0	0	0	0
"Gm24175"	0	0	0	0	0	0
"Gm24177"	0	0	0	0	0	0
"Gm24179"	0	0	0	0	0	0
"Gm24182"	0	0	0	0	0	0
"Gm24185"	0	0	0	0	0	0
"Gm24192"	0	0	0	0	0	0
"Gm24195"	0	0	0	0	0	0
"Gm24198"	0	0	0	0	0	0
"Gm24199"	0	0	0	0	0	0
"Gm24200"	0	0	0	0	0	0
"Gm24201"	0	0	1	0	0	0
"Gm24204"	0	0	0	0	0	0
"Gm24205"	0	0	0	0	0	0
"Gm24206"	0	0	0	0	0	0
"Gm24207"	0	0	0	0	0	0
"Gm24208"	0	0	0	0	0	0
"Gm24210"	0	0	0	0	0	0
"Gm24211"	0	0	0	0	0	0
"Gm24212"	0	0	0	0	0	0
"Gm24218"	0	0	0	0	0	0
"Gm24219"	0	0	0	0	0	0
"Gm24220"	0	0	0	0	0	0
"Gm24221"	0	0	0	0	0	0
"Gm24224"	0	6	0	0	1	0
"Gm24228"	0	0	0	0	0	0
"Gm2423"	1012	906	784	745	826	1015
"Gm24230"	0	0	0	0	0	0
"Gm24231"	0	0	0	0	0	0
"Gm24232"	0	0	0	0	0	0
"Gm24233"	0	0	0	1	0	0
"Gm24234"	0	0	0	0	0	0
"Gm24235"	0	0	0	0	0	0
"Gm24236"	0	0	0	0	0	0
"Gm24240"	0	0	0	0	0	0
"Gm24241"	0	0	0	0	0	0
"Gm24242"	0	0	0	0	0	0
"Gm24244"	0	0	0	0	0	0
"Gm24246"	0	0	0	0	0	0
"Gm24249"	0	0	0	0	0	0
"Gm24252"	0	0	0	0	0	0
"Gm24253"	0	0	0	0	0	0
"Gm24254"	0	0	0	0	0	0
"Gm24255"	0	0	0	0	0	0
"Gm24256"	0	0	0	0	0	0
"Gm24257"	0	0	0	0	0	0
"Gm24258"	0	0	0	0	0	0
"Gm24259"	0	0	0	0	0	0
"Gm24260"	0	0	0	0	0	0
"Gm24261"	0	0	0	0	0	0
"Gm24262"	0	0	0	0	0	0
"Gm24263"	0	0	0	0	0	0
"Gm24264"	0	0	0	0	0	0
"Gm24265"	0	0	0	0	0	0
"Gm24267"	0	0	0	0	0	0
"Gm24268"	0	0	0	0	0	0
"Gm2427"	0	0	0	0	0	0
"Gm24274"	0	0	0	0	0	0
"Gm24278"	0	0	0	0	0	0
"Gm24279"	0	0	0	0	0	0
"Gm24280"	0	0	0	0	0	0
"Gm24281"	0	0	0	0	0	0
"Gm24283"	0	0	0	0	0	0
"Gm24285"	0	0	0	0	0	0
"Gm24286"	0	0	0	0	0	0
"Gm24288"	0	0	0	0	0	0
"Gm24289"	0	0	0	0	0	0
"Gm24291"	0	0	0	0	0	0
"Gm24292"	0	0	0	0	0	0
"Gm24295"	0	0	0	0	0	0
"Gm24296"	0	0	0	0	0	0
